Company_ID,Date,Industry_Sector,Total_Assets,Total_Liabilities,Current_Assets,Current_Liabilities,Net_Income,Revenue,Operating_Income,Cash_Flow,Debt_Equity_Ratio,Return_on_Assets,Working_Capital_Ratio,Stock_Price_Close,Volatility_Index,GDP_Growth_Rate,Interest_Rate,Inflation_Rate,Financial_Risk_Label
C1173,2016-03-31,Healthcare,386669742.27,100459224.42,10219237.51,5550834.01,47011572.72,169732664.66,30551879.6388,46913116.75,0.35,0.1216,1.84,69.95,23.55,-2.91,7.82,1.75,0
C1342,2023-03-31,Retail,342112335.38,34951452.43,138901832.26,18459982.38,49202968.56,121005367.74,10890483.0966,49216178.78,0.11,0.1438,7.52,499.39,39.73,9.06,1.27,6.74,0
C2406,2024-12-31,Finance,396802053.95,77241618.35,154916981.97,1301601.81,7534605.67,93452546.65,27101238.5285,7441723.22,0.24,0.019,119.02,66.68,45.74,6.03,9.02,5.04,0
C2718,2021-03-31,Technology,296746266.71,223888181.35,142776202.51,32143819.6,46378153.57,6291094.06,314554.703,46348468.22,3.07,0.1563,4.44,465.23,37.32,0.67,1.72,3.41,1
C2620,2020-12-31,Manufacturing,758751885.32,217854018.38,203542987.91,76239758.93,68545611.64,226218304.57,33932745.6855,68569755.2,0.4,0.0903,2.67,467.82,42.86,-1.07,2.13,1.1,0
C2774,2022-09-30,Finance,719819348.74,123737817.65,42174313.68,3624192.93,142329872.65,31354067.32,5016650.7712,142332087.09,0.21,0.1977,11.64,964.75,54.55,-1.43,1.3,4.07,0
C2934,2024-06-30,Manufacturing,981317146.17,196455938.2,5130902.89,2292693.93,2147138.4,165036348.23,23105088.7522,2047609.02,0.25,0.0022,2.24,780.67,55.64,9.98,5.33,3.15,0
C2399,2015-09-30,Energy,76718414.0,33456570.77,604351.9,486380.69,9900147.64,20020623.39,3803918.4441,9986699.5,0.77,0.129,1.24,907.16,49.64,0.04,1.52,3.25,0
C3492,2020-03-31,Finance,743682242.41,134314841.94,342741726.25,335196863.51,63423613.15,194110650.79,27175491.1106,63494022.59,0.22,0.0853,1.02,301.19,15.44,1.84,2.11,4.02,0
C1353,2020-09-30,Finance,883176610.92,703889489.06,25639819.81,23737684.44,35079688.39,90688112.09,5441286.7254,35164125.94,3.93,0.0397,1.08,760.6,12.67,4.5,1.64,6.26,1
C3114,2017-09-30,Finance,132212220.88,103225741.58,3380439.47,863561.1,13548042.47,38645090.81,6956116.3458,13596062.01,3.56,0.1025,3.91,6.55,38.19,4.22,2.49,5.61,1
C1394,2018-06-30,Retail,3048860.99,487021.59,737931.81,441349.29,-753819.79,1161508.79,116150.87900000002,-830650.77,0.19,-0.2472,1.67,336.76,37.57,9.83,4.48,3.98,1
C4541,2022-06-30,Technology,119349786.59,46487174.24,1529188.56,798956.82,14703901.3,24071103.34,1925688.2672,14743125.84,0.64,0.1232,1.91,842.87,42.07,3.69,4.52,5.7,0
C2040,2024-03-31,Technology,360181558.18,52343533.24,138043843.09,125171722.75,58442469.57,8689188.99,1042702.6788,58460886.69,0.17,0.1623,1.1,330.55,17.51,3.08,5.45,5.97,0
C2787,2021-09-30,Finance,184235852.85,139716761.43,59887066.67,29338166.22,31601062.04,87819038.56,12294665.3984,31604219.08,3.14,0.1715,2.04,119.53,57.99,-3.19,9.33,2.34,1
C5595,2018-06-30,Technology,608165835.09,166819016.89,172328257.89,141903579.17,61749068.05,144952878.02,14495287.802,61722241.81,0.38,0.1015,1.21,522.21,15.71,5.69,9.0,6.53,0
C4838,2024-12-31,Manufacturing,20147255.64,5952034.58,3293967.7,2139052.45,-181377.95,7687841.18,999419.3534,-106117.76,0.42,-0.009,1.54,187.32,49.87,-2.21,0.69,1.41,1
C2423,2023-03-31,Manufacturing,18096011.68,7928820.16,3324930.39,870399.82,-204397.56,4159652.38,1123106.1426,-152771.7,0.78,-0.0113,3.82,9.61,46.56,-3.91,5.71,6.46,1
C5859,2022-03-31,Finance,975624224.39,693518906.9,289211262.02,273600025.1,119072535.34,303493540.12,63733643.4252,119137594.75,2.46,0.122,1.06,316.24,25.52,-4.51,8.18,2.84,0
C5889,2024-09-30,Manufacturing,630276418.59,185100756.22,273593015.32,82626525.79,124800030.81,208857531.49,29240054.408600003,124817223.32,0.42,0.198,3.31,364.85,35.76,2.89,7.77,4.13,0
C1751,2024-12-31,Manufacturing,107273228.84,19437882.23,16028482.35,7769500.69,7768845.35,49468662.57,13356538.8939,7818459.529999999,0.22,0.0724,2.06,661.01,20.22,4.03,1.9,4.17,0
C3656,2022-03-31,Retail,59701434.64,38967681.86,25580043.21,21780033.96,9373665.78,8091304.32,1537347.8208,9436651.13,1.88,0.157,1.17,627.3,57.93,5.17,5.83,7.97,0
C1020,2019-09-30,Energy,774476790.9,458020109.53,156500757.07,155059686.3,51999576.18,95057135.74,28517140.722,52095031.54,1.45,0.0671,1.01,593.88,20.45,-1.42,5.45,6.43,0
C1383,2018-12-31,Finance,979894463.87,29796414.82,426329607.08,137122528.67,180558302.08,109142142.8,26194114.272,180543393.44000003,0.03,0.1843,3.11,384.56,12.97,5.59,2.17,4.24,0
C3172,2016-03-31,Retail,678927039.24,57986630.16,137864288.8,97156171.09,48357874.94,243709189.51,29245102.7412,48366582.53,0.09,0.0712,1.42,357.76,56.08,1.64,3.22,1.4,0
C3373,2015-06-30,Energy,983986928.67,73658846.03,459830971.33,185898726.58,18151423.93,186612881.74,44787091.6176,18136378.5,0.08,0.0184,2.47,495.57,51.17,4.23,6.85,2.08,0
C5679,2022-03-31,Finance,773372420.15,287105028.56,239102413.03,85740896.14,44774732.52,135963137.86,27192627.572000004,44798252.510000005,0.59,0.0579,2.79,554.33,30.35,6.75,8.07,6.05,0
C4091,2020-12-31,Manufacturing,511987061.23,367735959.06,246063221.84,117765587.49,24824906.28,196343005.03,17670870.4527,24889708.18,2.55,0.0485,2.09,869.89,25.56,-2.25,1.56,5.27,1
C2423,2023-03-31,Manufacturing,18096011.68,7928820.16,3324930.39,870399.82,-204397.56,4159652.38,1123106.1426,-152771.7,0.78,-0.0113,3.82,9.61,46.56,-3.91,5.71,6.46,1
C3153,2015-06-30,Healthcare,354441840.29,267602035.04,49178152.43,9748920.64,43602042.08,162277443.57,14604969.9213,43510310.71,3.08,0.123,5.04,967.55,16.84,4.11,2.39,2.17,1
C5068,2024-12-31,Manufacturing,747250603.84,549550162.54,93824935.95,45923220.2,-556280.98,307294645.98,79896607.95480001,-473514.98,2.78,-0.0007,2.04,731.6,26.95,-2.29,3.71,2.59,1
C3156,2024-09-30,Retail,632935233.08,112020927.16,181154431.16,44471827.46,41129482.92,111475308.7,20065555.566,41134229.3,0.22,0.065,4.07,668.98,31.89,-2.18,5.16,6.58,0
C3732,2015-03-31,Retail,879656125.68,633502456.51,177587782.48,99405656.07,118915215.49,402293232.03,100573308.0075,118913032.81,2.57,0.1352,1.79,512.17,26.82,-4.83,1.87,3.32,1
C2277,2017-12-31,Healthcare,469776495.79,253959786.61,204357859.94,145024828.03,13853514.66,167267433.22,15054068.9898,13884263.75,1.18,0.0295,1.41,336.87,12.82,-1.6,4.95,7.96,0
C4288,2020-06-30,Manufacturing,804519648.73,408528056.09,22231954.14,11359390.18,150227851.29,43060806.58,7750945.1844,150288536.65,1.03,0.1867,1.96,662.87,29.72,8.38,5.51,7.08,0
C1821,2022-06-30,Retail,416368620.04,98335273.73,130477484.73,94613907.23,13409060.37,33011368.72,3961364.2464,13358643.83,0.31,0.0322,1.38,751.9,36.54,3.22,0.64,7.96,0
C2232,2020-03-31,Healthcare,334857108.23,246866841.71,39898256.83,2031127.76,58967400.95,73545643.1,15444585.051,59044556.620000005,2.81,0.1761,19.64,756.87,49.83,2.2,7.03,7.75,1
C2003,2019-12-31,Finance,836272579.4,606833413.12,391829624.19,145954329.33,132886878.9,206955064.09,24834607.6908,132936255.3,2.64,0.1589,2.68,247.91,15.48,5.57,3.23,3.14,1
C2980,2015-03-31,Manufacturing,870059210.22,684376325.78,136113725.23,132635790.0,75051660.57,266830227.62,66707556.905,75023544.61999999,3.69,0.0863,1.03,212.24,23.65,7.58,9.38,1.9,1
C2124,2018-03-31,Technology,802310426.5,253202712.12,170585523.37,61069632.89,45780673.82,241514356.67,24151435.667,45834519.76,0.46,0.0571,2.79,484.29,54.18,9.08,4.14,2.11,0
C2608,2024-12-31,Manufacturing,650139972.79,341481165.91,108421247.37,65262473.2,24908420.52,61745498.4,14818919.616,24884332.59,1.11,0.0383,1.66,546.88,24.64,-1.46,7.91,6.56,0
C3003,2022-12-31,Manufacturing,890889884.43,14798419.72,366506034.58,276423575.51,27971672.2,166233973.85,46545512.678,27900949.38,0.02,0.0314,1.33,115.8,46.76,2.06,3.2,2.2,0
C3868,2017-03-31,Manufacturing,61129513.9,16496120.44,17193100.99,2079188.38,4626206.49,10877416.36,1414064.1268,4580292.76,0.37,0.0757,8.27,342.43,29.6,-3.08,2.47,7.37,0
C1103,2017-06-30,Retail,778508965.05,589872459.89,262248261.47,232375865.98,48827516.2,329245141.38,42801868.3794,48906349.54000001,3.13,0.0627,1.13,799.06,59.18,7.41,4.28,1.77,1
C4658,2018-03-31,Retail,355718045.93,28527929.2,38878700.76,7628289.32,6804667.04,87403882.16,11362504.6808,6803554.31,0.09,0.0191,5.1,83.84,39.45,4.48,2.92,4.98,0
C4225,2018-06-30,Energy,755311986.0,601116926.79,336420101.72,61357976.14,112753211.57,188160663.45,15052853.076,112766777.03,3.9,0.1493,5.48,98.22,48.1,0.42,8.18,5.78,1
C4379,2024-09-30,Healthcare,952794359.38,343106233.59,224971632.16,15750264.46,133864785.62,363003254.43,29040260.3544,133892431.58,0.56,0.1405,14.28,376.61,38.24,5.12,1.46,3.11,0
C5197,2017-09-30,Finance,782481408.17,279358527.69,287282775.89,88048983.91,14592366.48,314870000.58,25189600.0464,14655163.78,0.56,0.0186,3.26,537.38,43.99,-1.01,6.95,7.25,0
C1960,2023-06-30,Finance,72386511.0,2371065.14,20865537.51,15388705.72,2365678.84,18267846.54,4932318.5658,2418023.73,0.03,0.0327,1.36,235.65,26.72,-0.41,7.34,7.78,0
C3813,2016-09-30,Finance,196746498.77,49795567.74,57456526.25,32532788.49,21018436.17,93682470.52,20610143.5144,20937855.91,0.34,0.1068,1.77,940.77,33.16,3.71,8.29,2.49,0
C5196,2020-03-31,Technology,909173429.54,111050545.71,371143141.43,147369958.67,104201714.87,245856818.73,54088500.1206,104223023.87,0.14,0.1146,2.52,263.19,28.98,0.45,9.34,1.31,0
C3696,2019-03-31,Energy,57065342.6,6788127.2,949626.08,459540.69,-205321.43,24194169.55,5564658.9965,-148592.86,0.14,-0.0036,2.07,619.39,43.19,-3.3,1.05,7.92,1
C5765,2020-03-31,Finance,539431764.99,125941213.15,24094626.58,4443191.3,44403443.94,204313719.8,34733332.366000004,44397648.64,0.3,0.0823,5.42,281.81,22.51,5.08,7.28,7.73,0
C1612,2024-03-31,Technology,690406514.41,179296817.95,34465378.37,3739868.66,88838241.03,39190410.87,10973315.0436,88879014.76,0.35,0.1287,9.22,230.08,23.96,5.65,8.33,6.88,0
C3919,2015-09-30,Manufacturing,205215936.51,106474715.62,34509026.85,18066321.22,26787895.74,93209484.84,23302371.21,26692122.79,1.08,0.1305,1.91,157.24,53.44,6.15,1.9,5.12,0
C5902,2022-09-30,Retail,595855992.25,87528813.69,161978004.82,69692640.54,63240333.32,170971861.13,10258311.6678,63267794.57,0.17,0.1061,2.32,303.06,26.98,6.61,2.22,3.37,0
C1228,2021-12-31,Retail,830712264.41,660331599.15,181319966.2,171000462.05,42648393.87,408004977.99,110161344.05730002,42725333.38,3.88,0.0513,1.06,134.75,53.5,9.13,8.28,1.64,1
C2524,2022-06-30,Finance,219256055.49,128743037.63,41429394.73,10946471.81,26124756.68,85780512.48,6862440.998400001,26114581.89,1.42,0.1192,3.78,772.61,55.18,-4.8,6.73,5.18,0
C1285,2018-09-30,Manufacturing,557379037.47,24319544.44,144923742.1,96786030.6,15951816.06,274107778.67,76750178.0276,16050436.51,0.05,0.0286,1.5,363.52,51.11,-0.07,7.62,7.63,0
C5015,2020-09-30,Finance,50339042.88,34982959.22,7585609.35,2648188.31,836323.85,22256758.89,3115946.2446000003,795839.34,2.28,0.0166,2.86,721.12,25.78,1.92,10.0,4.43,0
C4415,2019-09-30,Healthcare,943381422.36,491598315.16,358543049.03,115427722.4,-851693.07,449166661.53,121274998.6131,-860119.4099999999,1.09,-0.0009,3.11,388.7,32.23,-0.96,6.34,7.82,1
C4090,2017-12-31,Healthcare,67335033.73,33654850.01,31470845.71,24754368.5,9594085.38,17474462.28,1747446.228,9548942.96,1.0,0.1425,1.27,285.71,43.25,7.85,1.8,1.23,0
C5989,2020-06-30,Manufacturing,620512290.87,288141027.29,261149670.69,18162698.47,2536678.64,262367498.95,20989399.916,2465588.6,0.87,0.0041,14.38,540.62,30.34,5.0,2.31,6.88,0
C4349,2021-12-31,Technology,860087938.45,637410466.73,272769711.19,133015621.89,139382194.96,265420015.95,69009204.147,139372478.85,2.86,0.1621,2.05,182.42,55.88,9.53,9.74,7.69,1
C1534,2015-03-31,Finance,299564759.43,148963056.19,13058331.45,10334212.51,30964023.82,30937640.1,4640646.015,30890239.18,0.99,0.1034,1.26,618.5,43.47,1.08,3.73,6.95,0
C4999,2019-03-31,Finance,219840219.36,155301330.94,78076282.61,48436475.64,37890953.68,8484984.44,1357597.5104,37968784.42,2.41,0.1724,1.61,87.4,38.67,-0.34,5.88,1.67,0
C2439,2024-09-30,Healthcare,380819720.86,27682521.2,121480702.33,110924492.6,50370060.25,110578799.49,33173639.846999995,50378427.88,0.08,0.1323,1.1,349.1,45.23,2.82,9.73,7.29,0
C1305,2024-12-31,Manufacturing,551788476.01,312635106.81,148111740.42,10546280.34,42982876.58,30699766.58,6446950.981799999,43048157.87,1.31,0.0779,14.04,121.12,13.34,1.09,3.38,2.82,0
C2667,2015-12-31,Technology,341955303.5,212195571.87,159276737.81,49926174.68,30487700.77,15053945.22,1806473.4264,30496949.29,1.64,0.0892,3.19,184.29,36.85,-0.31,9.91,3.63,0
C4030,2016-03-31,Manufacturing,610334322.98,293409502.23,185824019.97,157645084.22,14215959.39,163210819.03,31010055.6157,14195492.97,0.93,0.0233,1.18,530.43,35.05,6.38,1.89,1.21,0
C4635,2017-12-31,Healthcare,365295629.71,289408977.7,49291821.61,32581515.28,13405134.99,35243970.43,8810992.6075,13490300.93,3.81,0.0367,1.51,894.87,51.69,3.75,1.57,3.36,1
C2689,2019-06-30,Retail,815034092.3,24565583.0,9563188.99,6099862.58,13583779.13,151487610.26,7574380.513,13556255.11,0.03,0.0167,1.57,321.45,40.64,2.49,6.95,7.55,0
C3264,2016-06-30,Retail,690568683.17,449147242.08,159661345.6,38377162.99,28199449.27,200025586.97,30003838.0455,28162960.52,1.86,0.0408,4.16,525.36,37.82,-1.49,4.09,5.95,0
C4055,2016-06-30,Technology,648759094.17,110806903.62,32972901.5,435614.68,-84600.07,34582982.46,5533277.1936,-183427.79,0.21,-0.0001,75.69,385.75,48.86,-3.07,7.99,2.33,1
C5966,2018-12-31,Energy,780346691.53,398111951.01,148590967.55,144085461.98,55388615.35,241498917.01,21734902.5309,55316755.0,1.04,0.071,1.03,955.66,46.37,-4.61,6.57,1.33,0
C1031,2024-03-31,Manufacturing,384832303.71,292321587.21,68993883.47,57611873.96,58768594.46,28422793.93,8242610.2397,58794787.61,3.16,0.1527,1.2,598.57,10.59,5.49,1.03,2.3,1
C3972,2020-03-31,Retail,467391585.15,192578614.86,132714197.64,72502551.56,28641856.83,37804990.42,8695147.796600001,28724368.24,0.7,0.0613,1.83,668.05,51.46,2.82,5.3,7.9,0
C3285,2021-12-31,Manufacturing,232487533.31,171157440.7,31289696.64,24657514.91,26651164.68,79698783.34,22315659.335200004,26720727.35,2.79,0.1146,1.27,132.11,56.69,-2.92,3.51,4.66,1
C3699,2017-06-30,Manufacturing,684263796.3,504614723.39,151887014.2,3063193.74,135486638.9,155580095.74,10890606.701800002,135496355.72,2.81,0.198,49.58,592.25,38.22,9.47,3.54,1.24,1
C5733,2024-03-31,Energy,421128647.87,301137897.28,28029078.22,21772308.57,83253448.52,157970354.22,30014367.3018,83265111.49,2.51,0.1977,1.29,168.41,31.95,2.95,5.23,1.78,1
C3639,2015-12-31,Technology,963130662.06,191662692.42,231793581.19,44827011.96,80800644.15,117427740.86,30531212.6236,80724960.49000001,0.25,0.0839,5.17,228.97,23.2,6.07,6.49,1.95,0
C3314,2024-12-31,Healthcare,427265457.17,259477242.75,26179945.05,24773597.07,3841050.26,66922151.62,15392094.8726,3884542.78,1.55,0.009,1.06,569.22,13.55,7.85,6.53,6.31,0
C3930,2019-03-31,Retail,547193232.6,392020518.27,181662357.49,45591140.98,50638531.97,184010991.19,47842857.7094,50595202.34,2.53,0.0925,3.98,727.87,44.14,-2.79,1.95,4.51,1
C5553,2018-03-31,Energy,529880382.09,391871046.47,204216581.62,29962901.98,35495595.09,82650146.74,19009533.7502,35503299.28,2.84,0.067,6.82,274.14,48.08,4.81,8.04,6.23,1
